region_name,brand_name,buy_price,sell_price,spread,capture_timestamp
Hạ Long,SJC,150900,152900,2000,2025-11-25 10:53:25
Hải Phòng,SJC,150900,152900,2000,2025-11-25 10:53:25
Miền Trung,SJC,150900,152900,2000,2025-11-25 10:53:25
Huế,SJC,150900,152900,2000,2025-11-25 10:53:25
Quảng Ngãi,SJC,150900,152900,2000,2025-11-25 10:53:25
Nha Trang,SJC,150900,152900,2000,2025-11-25 10:53:25
Biên Hòa,SJC,150900,152900,2000,2025-11-25 10:53:25
Miền Tây,SJC,150900,152900,2000,2025-11-25 10:53:25
Miền Tây,Ngọc Thẩm,150900,152900,2000,2025-11-25 10:53:25
Bạc Liêu,SJC,150900,152900,2000,2025-11-25 10:53:25
Cà Mau,SJC,150900,152900,2000,2025-11-25 10:53:25
Hà Nội,PNJ,150900,152900,2000,2025-11-25 10:53:25
Hà Nội,DOJI,150900,152900,2000,2025-11-25 10:53:25
Hà Nội,Bảo Tín Minh Châu,151400,152900,1500,2025-11-25 10:53:25
Hà Nội,Bảo Tín Mạnh Hải,151500,152900,1400,2025-11-25 10:53:25
Hà Nội,Phú Quý,150400,152900,2500,2025-11-25 10:53:25
Đà Nẵng,PNJ,150900,152900,2000,2025-11-25 10:53:25
Đà Nẵng,DOJI,150900,152900,2000,2025-11-25 10:53:25
Miền Tây,PNJ,150900,152900,2000,2025-11-25 10:53:25
Tây Nguyên,PNJ,150900,152900,2000,2025-11-25 10:53:25
Đông Nam Bộ,PNJ,150900,152900,2000,2025-11-25 10:53:25
Đông Nam Bộ,Ngọc Thẩm,150900,152900,2000,2025-11-25 10:53:25
Bắc Ninh,Bảo Tín Mạnh Hải,151500,152900,1400,2025-11-25 10:53:25
Hải Dương,Bảo Tín Mạnh Hải,151500,152900,1400,2025-11-25 10:53:25
Bến Tre,Mi Hồng,151000,152900,1900,2025-11-25 10:53:25
Tiền Giang,Mi Hồng,151000,152900,1900,2025-11-25 10:53:25
Mỹ Tho,Ngọc Thẩm,150900,152900,2000,2025-11-25 10:53:25
Vĩnh Long,Ngọc Thẩm,150900,152900,2000,2025-11-25 10:53:25
Long Xuyên,Ngọc Thẩm,150900,152900,2000,2025-11-25 10:53:25
Cần Thơ,Ngọc Thẩm,150900,152900,2000,2025-11-25 10:53:25
Sa Đéc,Ngọc Thẩm,150900,152900,2000,2025-11-25 10:53:25
Trà Vinh,Ngọc Thẩm,150900,152900,2000,2025-11-25 10:53:25
Tân An,Ngọc Thẩm,150900,152900,2000,2025-11-25 10:53:25
Cập nhật lúc 17:50:23 25/11/2025 https://giavang.org/,Cập nhật lúc 17:50:23 25/11/2025 https://giavang.org/,17502325112025,17502325112025,0,2025-11-25 10:53:25
TP. Hồ Chí Minh,SJC,150900,152900,2000,2025-11-25 10:58:21
TP. Hồ Chí Minh,PNJ,150900,152900,2000,2025-11-25 10:58:21
TP. Hồ Chí Minh,DOJI,150900,152900,2000,2025-11-25 10:58:21
TP. Hồ Chí Minh,Mi Hồng,151000,152900,1900,2025-11-25 10:58:21
TP. Hồ Chí Minh,Ngọc Thẩm,150900,152900,2000,2025-11-25 10:58:21
Miền Bắc,SJC,150900,152900,2000,2025-11-25 10:58:21
Hạ Long,SJC,150900,152900,2000,2025-11-25 10:58:21
Hải Phòng,SJC,150900,152900,2000,2025-11-25 10:58:21
Miền Trung,SJC,150900,152900,2000,2025-11-25 10:58:21
Huế,SJC,150900,152900,2000,2025-11-25 10:58:21
Quảng Ngãi,SJC,150900,152900,2000,2025-11-25 10:58:21
Nha Trang,SJC,150900,152900,2000,2025-11-25 10:58:21
Biên Hòa,SJC,150900,152900,2000,2025-11-25 10:58:21
Miền Tây,SJC,150900,152900,2000,2025-11-25 10:58:21
